cfg_id,bow,bigram,lemmatize,remove_stopwords,rating,length,tense,sentiment1,sentiment2,db_comment_column_name,1_fold,2_fold,3_fold,4_fold,5_fold,6_fold,7_fold,8_fold,9_fold,10_fold,value,label
bow-bigram-tense-sentiment1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,comment,5.35800004,5.35800004,5.464999914,5.464999914,5.710999966,5.710999966,6.746000051,6.746000051,5.888999939,5.888999939,time,feature
bow-lemmatize-rating,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,lemmatized_comment,5.220999956,5.220999956,4.799999952,4.799999952,4.81099987,4.81099987,5.220000029,5.220000029,5.50999999,5.50999999,time,feature
bow-lemmatize-rating,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,lemmatized_comment,5.351999998,5.351999998,5.085000038,5.085000038,5.069999933,5.069999933,5.730000019,5.730000019,5.264000177,5.264000177,time,feature
bow-lemmatize-rating,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,lemmatized_comment,3.582000017,3.582000017,3.803999901,3.803999901,3.970000029,3.970000029,4.004999876,4.004999876,3.870000124,3.870000124,time,feature
bow-lemmatize-remove_stopwords-rating-tense-sentiment1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal_lemmatization,4.532999992,4.532999992,4.717000008,4.717000008,4.625,4.625,5.330000162,5.330000162,4.799000025,4.799000025,time,feature
bow-lemmatize-remove_stopwords-rating-tense-sentiment1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal_lemmatization,4.720999956,4.720999956,4.620000124,4.620000124,4.661999941,4.661999941,4.649999857,4.649999857,4.525999784,4.525999784,time,feature
bow-lemmatize-remove_stopwords-rating-tense-sentiment1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal_lemmatization,4.245000124,4.245000124,4.367000103,4.367000103,4.263999939,4.263999939,4.609999895,4.609999895,4.224999905,4.224999905,time,feature
bow-lemmatize-remove_stopwords-rating-tense-sentiment1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal_lemmatization,4.796000004,4.796000004,4.806000233,4.806000233,4.437999964,4.437999964,4.353999853,4.353999853,4.429999828,4.429999828,time,feature
bow-lemmatize-remove_stopwords-rating-tense-sentiment1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal_lemmatization,4.888000011,4.888000011,5.182999849,5.182999849,5.203999996,5.203999996,5.396999836,5.396999836,4.927000046,4.927000046,time,feature
bow-lemmatize-remove_stopwords-rating-tense-sentiment1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal_lemmatization,3.121000051,3.121000051,3.269999981,3.269999981,3.174999952,3.174999952,4.256999969,4.256999969,4.186000109,4.186000109,time,feature
bow-lemmatize-remove_stopwords-rating-tense-sentiment2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,stopwords_removal_lemmatization,4.551000118,4.551000118,4.670000076,4.670000076,5.101999998,5.101999998,4.429999828,4.429999828,4.646000147,4.646000147,time,feature
bow-lemmatize-remove_stopwords-rating-tense-sentiment2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,stopwords_removal_lemmatization,5.063999891,5.063999891,5.003000021,5.003000021,4.81799984,4.81799984,4.857999802,4.857999802,4.825000048,4.825000048,time,feature
bow-lemmatize-remove_stopwords-rating-tense-sentiment2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,stopwords_removal_lemmatization,3.720000029,3.720000029,3.731999874,3.731999874,3.875,3.875,3.637000084,3.637000084,3.562999964,3.562999964,time,feature
bow-rating-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,comment,6.303999901,6.303999901,6.960999966,6.960999966,6.520999908,6.520999908,6.812000036,6.812000036,6.901000023,6.901000023,time,feature
bow-rating-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,comment,6.415999889,6.415999889,6.78399992,6.78399992,7.131999969,7.131999969,7.105000019,7.105000019,7.020999908,7.020999908,time,feature
bow-rating-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,comment,7.265000105,7.265000105,8.062999964,8.062999964,7.118000031,7.118000031,6.529000044,6.529000044,7.09800005,7.09800005,time,feature
bow-rating-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,comment,7.454999924,7.454999924,6.82400012,6.82400012,7.32799983,7.32799983,10.1559999,10.1559999,7.453999996,7.453999996,time,feature
bow-rating-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,comment,7.425000191,7.425000191,7.052999973,7.052999973,7.562999964,7.562999964,6.868000031,6.868000031,7.395000219,7.395000219,time,feature
bow-rating-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,comment,5.606000185,5.606000185,5.430000067,5.430000067,4.757999897,4.757999897,5.128000021,5.128000021,4.859999895,4.859999895,time,feature
bow-rating-tense-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,comment,7.008000135,7.008000135,6.315000057,6.315000057,6.894000053,6.894000053,6.541000128,6.541000128,6.993000031,6.993000031,time,feature
bow-rating-tense-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,comment,7.691999912,7.691999912,7.576999903,7.576999903,6.446000099,6.446000099,7.053999901,7.053999901,7.253000021,7.253000021,time,feature
bow-rating-tense-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,comment,6.44299984,6.44299984,6.294000149,6.294000149,6.694000006,6.694000006,7.217000008,7.217000008,6.520999908,6.520999908,time,feature
bow-rating-tense-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,comment,7.282000065,7.282000065,7.562000036,7.562000036,7.229000092,7.229000092,7.197999954,7.197999954,7.000999928,7.000999928,time,feature
bow-rating-tense-sentiment1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,comment,5.123000145,5.123000145,5.392000198,5.392000198,5.59499979,5.59499979,5.16899991,5.16899991,5.730999947,5.730999947,time,feature
