cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.819672131147541;0.7681159420289855;0.7945205479452054;0.8823529411764706;0.8181818181818182;0.7333333333333333;0.7424242424242424;0.8431372549019608;0.7450980392156863;0.7796610169491526
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7142857142857143;0.8135593220338984;0.6333333333333333;0.7761194029850746;0.8088235294117647;0.7014925373134329;0.78125;0.7777777777777778;0.8214285714285714;0.828125
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7894736842105263;0.8735632183908046;0.7209302325581395;0.8072289156626506;0.7560975609756098;0.7974683544303798;0.7560975609756098;0.7659574468085106;0.8823529411764706;0.76
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7613636363636364;0.7525773195876289;0.7717391304347826;0.7078651685393258;0.7906976744186046;0.7553191489361702;0.7752808988764045;0.7682926829268293;0.7647058823529411;0.7142857142857143
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7777777777777778;0.7407407407407407;0.7088607594936709;0.7058823529411765;0.7191011235955056;0.8152173913043478;0.6818181818181818;0.8279569892473119;0.8421052631578947;0.7567567567567568
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.84375;0.6933333333333334;0.7868852459016393;0.8309859154929577;0.7714285714285715;0.6666666666666666;0.7;0.8095238095238095;0.8360655737704918;0.7258064516129032
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7903225806451613;0.7241379310344828;0.8;0.7575757575757576;0.676923076923077;0.7721518987341772;0.7647058823529411;0.8666666666666667;0.8421052631578947;0.7301587301587301
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7397260273972602;0.7837837837837838;0.8;0.7096774193548387;0.7323943661971831;0.7878787878787878;0.7671232876712328;0.8;0.8133333333333334;0.7727272727272727
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6119402985074627;0.5972222222222222;0.5735294117647058;0.5771812080536913;0.6808510638297872;0.5103448275862069;0.5555555555555556;0.6388888888888888;0.6095890410958904;0.5933333333333334
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6343283582089553;0.6099290780141844;0.6290322580645161;0.5220588235294118;0.6739130434782609;0.5357142857142857;0.6240601503759399;0.664;0.5955882352941176;0.5882352941176471
